Zip_Code,lat,long,Metro,City,Population,Home_Ownership,Renter,Poverty_Black,Poverty_Hispanic,Poverty_White,Black_Insurance_Coverage,Hispanic_Insurance_Coverage,White_Insurance_Coverage,Foreign_Born,Total_Income,Total_Income_Black,Total_Income_Hispanic,Total_Income_White,Population_White,Population_Black,Population_Asian,Population_Other,Housing_Price,HomePriceCat,IncomeBracket,PopDem,PopType,Ethnicity,HousingType,BelowPoverty
92282,33.941487,-116.64506,0,0,1498,769,694,256,531,687,174,531,687,174,486,32,90,342,1045,174,90,118,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Owners,White
90241,33.942289,-118.12901,Los Angeles-Long Beach-Anaheim,Downey,44097,18789,24304,15880,33336,6115,1005,33369,6124,1005,13371,440,9005,2812,29110,1046,3023,9154,564441.6667,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
92506,33.943615,-117.37239,Riverside-San Bernardino-Ontario,Riverside,45831,31672,13136,5816,14795,24309,2245,14880,24331,2245,14869,730,3397,9764,35046,2277,2331,3551,416216.6667,BelowMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,White
90280,33.944264,-118.1949,Los Angeles-Long Beach-Anaheim,South Gate,95420,43826,50274,41431,90680,3006,881,90856,3006,874,23557,333,21658,1291,57835,888,581,33569,408841.6667,BelowMedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Renters,Hispa
92223,33.945265,-116.9759,Riverside-San Bernardino-Ontario,Beaumont,52129,37404,13659,8671,20516,22710,3022,20582,22816,3022,16189,1031,4746,8896,36814,3056,3865,5218,304550,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,White
90605,33.945413,-118.03362,Los Angeles-Long Beach-Anaheim,Whittier,41818,27334,13893,10225,32071,6415,382,32192,6408,373,10719,107,7504,2495,21849,410,1926,15977,483891.6667,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
90002,33.948315,-118.24845,Los Angeles-Long Beach-Anaheim,Los Angeles,52856,20321,31606,18428,40197,243,11401,40393,255,11363,12694,4142,8286,93,19918,11401,299,20177,327541.6667,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,Other,Renters,Hispa
92240,33.952303,-116.50804,Riverside-San Bernardino-Ontario,Desert Hot Springs,35434,15920,18647,8409,19608,11264,2477,19811,11308,2456,11812,949,5079,5296,24589,2477,714,5678,187308.3333,BelowMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
90044,33.953814,-118.29158,Los Angeles-Long Beach-Anaheim,Los Angeles,94680,31348,61133,30785,59811,922,32544,59974,922,32471,27804,13105,13861,264,25246,32579,467,34432,383675,BelowMedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,Other,Renters,Hispa
90301,33.955913,-118.35868,Los Angeles-Long Beach-Anaheim,Inglewood,37518,11185,24440,12173,23321,1205,11523,23345,1205,11473,12096,5016,5901,690,11052,11564,569,12111,465208.3333,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,Other,Renters,Hispa
90293,33.957012,-118.44167,Los Angeles-Long Beach-Anaheim,Los Angeles,12762,6317,6205,2130,1707,7980,699,1707,7980,699,6655,360,726,4504,8875,709,1656,685,1570350,AboveMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
92557,33.957957,-117.24833,Riverside-San Bernardino-Ontario,Moreno Valley,51789,32324,18528,10850,25988,12187,8900,26059,12158,8878,13892,2753,5794,4297,23338,8910,3118,13473,310708.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,Hispa
90240,33.958363,-118.11987,Los Angeles-Long Beach-Anaheim,Downey,26339,17009,8881,8164,19291,4161,712,19382,4155,712,7224,177,4622,1730,18444,730,1930,4571,573258.3333,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
90047,33.958464,-118.30998,Los Angeles-Long Beach-Anaheim,Los Angeles,48491,27350,20499,9453,15399,866,31259,15399,866,31195,16952,12227,4105,251,7931,31267,402,7659,429708.3333,BelowMedianHomePrice,MiddleIncome,Semi-Urban,ForeignBorn,Black,Owners,Hispa
90045,33.960041,-118.3949,Los Angeles-Long Beach-Anaheim,Los Angeles,41420,20734,16600,8058,6590,18619,5490,7340,20391,5249,15576,2468,2509,8001,24693,5494,5826,2452,1124750,AboveMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,White
90305,33.960263,-118.3252,Los Angeles-Long Beach-Anaheim,Inglewood,15574,10670,4263,2038,2719,385,11962,2729,385,11946,5775,4792,638,110,1929,11962,154,1121,544233.3333,MedianHomePrice,LowIncome,Semi-Urban,ForeignBorn,Black,Owners,Hispa
90003,33.962714,-118.276,Los Angeles-Long Beach-Anaheim,Los Angeles,70490,22456,46618,26326,53801,473,15778,54113,473,15726,16581,5491,10828,147,20983,15778,201,32218,333283.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,Other,Renters,Hispa
90602,33.967562,-118.03384,Los Angeles-Long Beach-Anaheim,Whittier,26482,10771,14168,5605,19931,3836,489,20209,4284,434,7826,109,5612,1735,12886,503,1050,11495,528391.6667,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
90201,33.972814,-118.17385,Los Angeles-Long Beach-Anaheim,Bell,102878,24199,75963,44538,96800,3492,814,97005,3492,814,24088,145,22752,831,79758,894,844,19432,407175,BelowMedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Renters,Hispa
90001,33.972914,-118.24878,Los Angeles-Long Beach-Anaheim,Florence-Graham,58738,20973,36741,24628,52620,332,5380,52767,351,5380,13807,1976,11653,92,19012,5383,132,33065,333541.6667,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,Other,Renters,Hispa
90302,33.975263,-118.35558,Los Angeles-Long Beach-Anaheim,Inglewood,30892,9666,20437,8299,13944,1792,14167,14001,1792,14151,10872,5843,3652,1017,8987,14269,439,5537,521658.3333,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,Black,Renters,Hispa
91709,33.975267,-117.72305,Riverside-San Bernardino-Ontario,Chino Hills,78025,60817,16285,22574,22326,23465,3595,22431,23444,3567,24091,1184,5827,8793,36516,3613,26133,7529,664083.3333,MedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Owners,White
90292,33.976373,-118.45458,Los Angeles-Long Beach-Anaheim,Los Angeles,22328,5900,16034,5664,1644,15986,1714,1665,15986,1675,12354,739,909,9004,17016,1714,1910,882,2429650,AboveMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Renters,White
90606,33.978312,-118.06778,Los Angeles-Long Beach-Anaheim,Whittier,32599,21160,10847,8706,28291,2652,348,28363,2652,348,8924,40,7310,1302,14990,349,667,14691,461658.3333,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
90255,33.978404,-118.21773,Los Angeles-Long Beach-Anaheim,Huntington Park,75636,27543,46682,36108,72912,1099,796,73125,1114,796,18387,253,17545,399,47619,804,548,25277,407283.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Renters,Hispa
92507,33.978965,-117.33646,Riverside-San Bernardino-Ontario,Riverside,58017,17850,33046,12765,27455,13709,4907,29365,14720,4425,16824,1919,6973,5686,33054,4909,7135,9914,351500,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Renters,Hispa
92320,33.984551,-117.03767,Riverside-San Bernardino-Ontario,Calimesa,8457,7079,1296,680,2104,5840,110,2114,5861,100,3310,64,495,2604,7285,111,280,250,322725,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
91748,33.985012,-117.89705,Los Angeles-Long Beach-Anaheim,Rowland Heights,47114,29434,16907,26586,11889,4690,533,11916,4720,533,13579,144,2897,1730,11338,541,29066,4606,621391.6667,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,Asian,Owners,Black
90056,33.986212,-118.37099,Los Angeles-Long Beach-Anaheim,Ladera Heights,8014,5846,2054,812,634,994,5617,666,994,5565,3480,2411,210,552,1426,5618,421,37,1084658.333,AboveMedianHomePrice,LowIncome,Semi-Urban,ForeignBorn,Black,Owners,White
90043,33.987463,-118.334,Los Angeles-Long Beach-Anaheim,Los Angeles,44571,25425,18131,9364,15037,1406,26696,15047,1422,26620,16789,11559,4029,650,8726,26750,548,7169,595450,MedianHomePrice,MiddleIncome,Semi-Urban,ForeignBorn,Black,Owners,Hispa
90270,33.988813,-118.18642,Los Angeles-Long Beach-Anaheim,Maywood,27597,7314,19659,12586,26893,339,142,26931,339,142,6609,74,6370,150,21699,150,50,5488,385150,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
90660,33.989013,-118.08912,Los Angeles-Long Beach-Anaheim,Pico Rivera,63694,43782,18777,19584,56631,3533,603,56838,3533,603,17011,192,14519,1580,35518,628,2006,23667,452741.6667,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,Hispa
